"cost","error","dispersion"
0.001,0.498659862214386,0.411275635324061
0.005,0.267103684583644,0.329973038671106
0.01,0.267103684583644,0.329973038671106
0.05,0.109960827440787,0.0107560437118392
0.1,0.109960827440787,0.0107560437118392
0.5,0.351559479880513,0.0148826014815372
1,0.341463684341277,0.0168338900450807
3,0.326439659716794,0.016446548815093
5,0.318927495925206,0.0168109614013679
10,0.316094832130587,0.0141199599770275
